pass,target_fps,offered_fps_real,impl,cpu_ms,cpu_pct,delivered,unique,lost,corrupt,duplicate,reordered,seconds,fps,loss_pct,jitter_ms
5,1450,1450.0,baseline,1116.5,22.3,7137,7137,113,0,0,1,4.99848,1427.63,1.55862,0.295835
6,750,750.0,baseline,618.0,12.4,3750,3750,0,0,0,0,4.99924,749.913,0,0.237869
6,800,800.0,baseline,647.8,13.0,4000,4000,0,0,0,0,4.99822,800.085,0,0.312802
6,850,850.0,baseline,664.6,13.3,4249,4249,1,0,0,0,4.99812,849.919,0.0235294,0.207723
6,900,900.0,baseline,677.1,13.5,4500,4500,0,0,0,0,4.99814,900.135,0,0.162928
6,950,950.0,baseline,727.7,14.6,4750,4750,0,0,0,0,5.0006,949.686,0,0.210971
6,1000,1000.0,baseline,771.8,15.4,4998,4998,2,0,0,0,4.99832,999.736,0.04,0.101356
6,1050,1050.0,baseline,804.4,16.1,5249,5249,1,0,0,1,4.99866,1049.88,0.0190476,0.288284
6,1100,1100.0,baseline,854.9,17.1,5491,5491,9,0,0,2,4.99839,1098.35,0.163636,0.248212
6,1150,1150.0,baseline,1023.3,20.5,5742,5742,8,0,0,0,4.99865,1148.51,0.13913,0.302296
6,1200,1200.0,baseline,1000.0,20.0,5982,5982,18,0,0,0,4.99512,1197.37,0.3,0.329917
6,1250,1249.9,baseline,1012.6,20.3,6234,6234,16,0,0,0,4.99883,1246.89,0.256,0.184619
6,1300,1300.0,baseline,1022.1,20.4,6466,6466,34,0,0,1,4.99866,1293.35,0.523077,0.214494
6,1350,1350.0,baseline,1176.9,23.5,6696,6696,54,0,0,0,4.99893,1339.29,0.8,0.312314
6,1400,1399.9,baseline,1121.5,22.4,6922,6922,78,0,0,0,4.99941,1384.36,1.11429,0.309195
6,1450,1450.0,baseline,1414.7,28.3,7066,7066,184,0,0,0,5.00371,1411.95,2.53793,0.381346
7,750,750.0,baseline,615.5,12.3,3750,3750,0,0,0,0,4.99815,750.077,0,0.249056
7,800,800.0,baseline,641.2,12.8,4000,4000,0,0,0,0,4.99817,800.092,0,0.312917
7,850,850.0,baseline,725.9,14.5,4250,4250,0,0,0,0,4.99828,850.093,0,0.325793
7,900,900.0,baseline,729.1,14.6,4499,4499,1,0,0,0,4.99831,899.905,0.0222222,0.242671
7,950,950.0,baseline,763.8,15.3,4750,4750,0,0,0,0,4.9986,950.066,0,0.304204
7,1000,1000.0,baseline,878.0,17.6,4999,4999,1,0,0,0,4.99874,999.852,0.02,0.234781
7,1050,1050.0,baseline,842.8,16.9,5243,5243,7,0,0,0,4.99852,1048.71,0.133333,0.278455
7,1100,1100.0,baseline,887.2,17.8,5495,5495,5,0,0,0,4.99619,1099.64,0.0909091,0.296943
7,1150,1150.0,baseline,996.7,19.9,5737,5737,13,0,0,0,4.99862,1147.52,0.226087,0.259638
7,1200,1200.0,baseline,1034.2,20.7,5970,5970,30,0,0,0,4.99854,1194.15,0.5,0.318966
7,1250,1250.0,baseline,1014.8,20.3,6238,6238,12,0,0,0,4.9988,1247.7,0.192,0.324846
7,1300,1300.0,baseline,1203.6,24.1,6459,6459,41,0,0,0,4.998,1292.12,0.630769,0.303421
7,1350,1349.9,baseline,1092.3,21.8,6708,6708,42,0,0,0,5.00019,1341.35,0.622222,0.32454
7,1400,1400.0,baseline,1205.7,24.1,6894,6894,106,0,0,1,4.99823,1379.09,1.51429,0.355671
7,1450,1450.0,baseline,1230.1,24.6,7044,7044,206,0,0,1,4.99895,1408.9,2.84138,0.325048
8,750,750.0,baseline,633.5,12.7,3750,3750,0,0,0,0,4.99819,750.072,0,0.245695
8,800,800.0,baseline,657.7,13.2,4000,4000,0,0,0,0,4.99788,800.139,0,0.24421
8,850,850.0,baseline,744.8,14.9,4250,4250,0,0,0,0,4.99809,850.125,0,0.268251
8,900,900.0,baseline,808.7,16.2,4500,4500,0,0,0,0,4.99821,900.123,0,0.241103
8,950,949.9,baseline,809.4,16.2,4750,4750,0,0,0,0,4.99842,950.1,0,0.351528
8,1000,1000.0,baseline,828.7,16.6,4999,4999,1,0,0,0,4.99884,999.831,0.02,0.268236
8,1050,1050.0,baseline,889.3,17.8,5247,5247,3,0,0,1,4.99813,1049.59,0.0571429,0.335418
8,1100,1100.0,baseline,985.1,19.7,5490,5490,10,0,0,0,4.99848,1098.13,0.181818,0.302205
8,1150,1150.0,baseline,977.0,19.5,5735,5735,15,0,0,0,5.00277,1146.16,0.26087,0.403023
8,1200,1200.0,baseline,1041.1,20.8,5982,5982,18,0,0,0,4.99845,1196.57,0.3,0.392959
8,1250,1250.0,baseline,1034.3,20.7,6219,6219,31,0,0,0,4.9992,1243.8,0.496,0.336681
8,1300,1300.0,baseline,1036.7,20.7,6461,6461,39,0,0,0,4.99981,1292.05,0.6,0.273696
8,1350,1349.9,baseline,1113.7,22.3,6655,6655,95,0,0,1,4.99908,1331.05,1.40741,0.297373
8,1400,1399.8,baseline,1221.5,24.4,6896,6896,104,0,0,0,4.99778,1379.61,1.48571,0.309305
8,1450,1450.0,baseline,1171.1,23.4,7115,7115,135,0,0,2,5.0036,1421.77,1.86207,0.354391
9,750,750.0,baseline,626.8,12.5,3750,3750,0,0,0,0,4.99826,750.061,0,0.296725
9,800,800.0,baseline,665.4,13.3,4000,4000,0,0,0,0,4.99803,800.115,0,0.284936
9,850,850.0,baseline,686.2,13.7,4250,4250,0,0,0,0,4.99829,850.091,0,0.341456
9,900,900.0,baseline,851.2,17.0,4500,4500,0,0,0,0,4.99877,900.022,0,0.363745
9,950,950.0,baseline,766.8,15.3,4750,4750,0,0,0,0,4.9982,950.142,0,0.235695
9,1000,1000.0,baseline,845.8,16.9,5000,5000,0,0,0,0,4.99865,1000.07,0,0.208575
9,1050,1050.0,baseline,856.6,17.1,5242,5242,8,0,0,0,4.99905,1048.4,0.152381,0.265112
9,1100,1099.9,baseline,875.6,17.5,5496,5496,4,0,0,0,4.99669,1099.73,0.0727273,0.288503
9,1150,1150.0,baseline,1072.2,21.4,5734,5734,16,0,0,1,4.99881,1146.87,0.278261,0.268691
9,1200,1200.0,baseline,976.4,19.5,5991,5991,9,0,0,0,4.99445,1199.33,0.15,0.325423
9,1250,1250.0,baseline,1025.5,20.5,6229,6229,21,0,0,0,4.99868,1245.93,0.336,0.336704
9,1300,1300.0,baseline,1028.1,20.6,6488,6488,12,0,0,0,4.99865,1297.75,0.184615,0.254963
9,1350,1350.0,baseline,1081.6,21.6,6700,6700,50,0,0,0,5.00087,1339.57,0.740741,0.333381
9,1400,1400.0,baseline,1109.9,22.2,6916,6916,84,0,0,0,4.99927,1383.2,1.2,0.339164
9,1450,1450.0,baseline,1123.1,22.5,7148,7148,102,0,0,1,4.99887,1429.72,1.4069,0.379851
10,750,750.0,baseline,676.7,13.5,3750,3750,0,0,0,0,4.99815,750.077,0,0.294415
10,800,800.0,baseline,639.3,12.8,4000,4000,0,0,0,0,4.99816,800.095,0,0.283844
10,850,850.0,baseline,666.5,13.3,4250,4250,0,0,0,0,4.99801,850.139,0,0.258753
10,900,900.0,baseline,723.5,14.5,4500,4500,0,0,0,0,4.99851,900.068,0,0.341198
10,950,950.0,baseline,720.0,14.4,4750,4750,0,0,0,0,4.99839,950.106,0,0.319229
10,1000,1000.0,baseline,862.7,17.3,5000,5000,0,0,0,0,4.9987,1000.06,0,0.245666
10,1050,1050.0,baseline,832.3,16.7,5245,5245,5,0,0,0,4.99838,1049.14,0.0952381,0.244554
10,1100,1100.0,baseline,954.2,19.1,5494,5494,6,0,0,0,4.99867,1098.89,0.109091,0.32044
10,1150,1149.9,baseline,915.6,18.3,5738,5738,12,0,0,1,4.99854,1147.73,0.208696,0.282382
10,1200,1200.0,baseline,1067.7,21.4,5973,5973,27,0,0,0,4.99864,1194.72,0.45,0.310496
10,1250,1249.9,baseline,980.0,19.6,6235,6235,15,0,0,1,4.99864,1247.14,0.24,0.229243
10,1300,1300.0,baseline,1064.4,21.3,6464,6464,36,0,0,0,4.99896,1292.87,0.553846,0.295487
10,1350,1350.0,baseline,1141.8,22.8,6662,6662,88,0,0,1,4.99856,1332.58,1.3037,0.361154
10,1400,1400.0,baseline,1138.7,22.8,6916,6916,84,0,0,0,4.99866,1383.37,1.2,0.357414
10,1450,1450.0,baseline,1140.5,22.8,7119,7119,131,0,0,1,4.99894,1423.9,1.8069,0.366031
