pass,target_fps,offered_fps_real,impl,cpu_ms,cpu_pct,delivered,unique,lost,corrupt,duplicate,reordered,seconds,fps,loss_pct,jitter_ms
9,1200,1200.0,asio,1140.2,22.8,5953,5953,47,0,0,0,4.99897,1190.64,0.783333,0.359781
9,1250,1250.0,asio,1096.6,21.9,6191,6191,59,0,0,0,4.99877,1238.3,0.944,0.31099
9,1300,1300.0,asio,1101.4,22.0,6467,6467,33,0,0,0,4.99869,1293.54,0.507692,0.341229
9,1350,1349.9,asio,1178.3,23.6,6651,6651,99,0,0,0,4.99885,1330.31,1.46667,0.292909
9,1400,1400.0,asio,1183.2,23.7,6772,6772,228,0,0,0,4.99861,1354.58,3.25714,0.432481
9,1450,1450.0,asio,1298.8,26.0,6987,6987,263,0,0,0,4.99863,1397.58,3.62759,0.349843
10,750,750.0,asio,739.9,14.8,3750,3750,0,0,0,0,4.99805,750.092,0,0.35785
10,800,800.0,asio,686.3,13.7,4000,4000,0,0,0,0,4.99836,800.062,0,0.280574
10,850,850.0,asio,791.4,15.8,4250,4250,0,0,0,0,4.99685,850.336,0,0.116805
10,900,900.0,asio,771.0,15.4,4498,4498,2,0,0,0,4.99829,899.709,0.0444444,0.147165
10,950,950.0,asio,903.7,18.1,4749,4749,1,0,0,0,5.00086,949.437,0.0210526,0.208478
10,1000,1000.0,asio,851.0,17.0,4998,4998,2,0,0,0,4.99826,999.748,0.04,0.227327
10,1050,1050.0,asio,904.7,18.1,5246,5246,4,0,0,0,4.99871,1049.27,0.0761905,0.186786
10,1100,1100.0,asio,942.0,18.8,5495,5495,5,0,0,0,4.9982,1099.2,0.0909091,0.171148
10,1150,1150.0,asio,976.4,19.5,5733,5733,17,0,0,0,4.9983,1146.79,0.295652,0.235084
10,1200,1200.0,asio,1023.9,20.5,5954,5954,46,0,0,0,4.99906,1190.82,0.766667,0.255974
10,1250,1250.0,asio,1085.6,21.7,6211,6211,39,0,0,0,4.99849,1242.38,0.624,0.221984
10,1300,1300.0,asio,1082.9,21.7,6479,6479,21,0,0,0,4.99852,1295.98,0.323077,0.263389
10,1350,1350.0,asio,1150.0,23.0,6680,6680,70,0,0,0,4.99884,1336.11,1.03704,0.29122
10,1400,1399.9,asio,1297.1,25.9,6786,6786,214,0,0,0,4.99872,1357.35,3.05714,0.353298
10,1450,1450.0,asio,1183.5,23.7,7121,7121,129,0,0,0,4.99917,1424.24,1.77931,0.280945
